Transaction ID,Payer Name,Payer Country,Receiver Name,Receiver Country,Transaction Details,Amount
T001,Intel Corporation,USA,JPMorgan Chase & Co.,USA,Details of transaction 1,1449.08
T002,Ittiam Systems,India,Integral Coach Factory,India,Details of transaction 2,4157.61
T003,Microsoft Corporation,USA,Flux Maritime,Greece,Details of transaction 3,8906.61
T004,Max Ventures and Industries,India,Microsoft Corporation,USA,Details of transaction 4,1856.05
T005,Shriram Group,India,Patanjali Ayurved,India,Details of transaction 5,8825.97
T006,Google UK Limited,UK,Pentamedia Graphics,India,Details of transaction 6,2485.63
T007,South Indian Bank,India,Alkem Laboratories,India,Details of transaction 7,5515.45
T008,VTB Bank,Russia,Intelenet Global Services,India,Details of transaction 8,512.08
T009,Rosneft,Russia,Snapdeal,India,Details of transaction 9,9295.77
T010,Patanjali Ayurved,India,Ircon International,India,Details of transaction 10,3948.17
T011,IBM Corporation,USA,Max Ventures and Industries,India,Details of transaction 11,5350.54
T012,Shriram Group,India,"PPD, Inc.",USA,Details of transaction 12,7022.56
T013,ITC Limited,India,"PPD, Inc.",USA,Details of transaction 13,6863.88
T014,Shree Renuka Sugars,India,Jain Irrigation Systems,India,Details of transaction 14,157.27
T015,IBM Corporation,USA,Ircon International,India,Details of transaction 15,2314.67
T016,ITC Limited,India,Pentamedia Graphics,India,Details of transaction 16,112.16
T017,Google UK Limited,UK,Integral Coach Factory,India,Details of transaction 17,9764.3
T018,Jain Irrigation Systems,India,Max Life Insurance,India,Details of transaction 18,2046.7
T019,Mazagon Dock Shipbuilders,India,Alkem Laboratories,India,Details of transaction 19,1869.94
T020,Apple Inc.,USA,HSBC Holdings plc,UK,Details of transaction 20,9078.75
T021,Max Healthcare,India,Pawan Hans,India,Details of transaction 21,4814.81
T022,Inox Air Products,India,Emdeon Business Services,USA,Details of transaction 22,4732.41
T023,Ircon International,India,Persistent Systems,India,Details of transaction 23,9304.6
T024,Intel Corporation,USA,"Cisco Systems, Inc.",USA,Details of transaction 24,6092.57
T025,VTB Bank,Russia,Sobha,India,Details of transaction 25,4696.07
T026,Sberbank,Russia,Ajanta Group,India,Details of transaction 26,3235.62
T027,Shree Renuka Sugars,India,Intex Technologies,India,Details of transaction 27,8393.23
T028,Sonata Software,India,Max Ventures and Industries,India,Details of transaction 28,4101.07
T029,IBM Corporation,USA,Max Ventures and Industries,India,Details of transaction 29,815.57
T030,Snapdeal,India,Alkem Laboratories,India,Details of transaction 30,9961.12
T031,Inox Air Products,India,SAP SE,Germany,Details of transaction 31,3685.09
T032,Max Ventures and Industries,India,Cosmos Lines,Greece,Details of transaction 32,823.92
T033,Amazon EU S.Ã  r.l.,Luxembourg,Intex Technologies,India,Details of transaction 33,7019.69
T034,Patanjali Ayurved,India,Pawan Hans,India,Details of transaction 34,6774.41
T035,Persistent Systems,India,Integral Coach Factory,India,Details of transaction 35,685.84
T036,Sonata Software,India,JPMorgan Chase & Co.,USA,Details of transaction 36,1066.74
T037,SAP SE,Germany,Pentamedia Graphics,India,Details of transaction 37,5501.12
T038,Shriram Group,India,Siemens AG,Germany,Details of transaction 38,6754.14
T039,ITC Limited,India,Pentamedia Graphics,India,Details of transaction 39,5959.95
T040,Persistent Systems,India,Air India Express,India,Details of transaction 40,2560.48
T041,Apple Inc.,USA,Intelenet Global Services,India,Details of transaction 41,7158.42
T042,Max Healthcare,India,South Indian Bank,India,Details of transaction 42,3494.65
T043,Singareni Collieries Company,India,Sobha,India,Details of transaction 43,1760.1
T044,Persistent Systems,India,Skyroot Aerospace,India,Details of transaction 44,1871.61
T045,Ircon International,India,Sobha,India,Details of transaction 45,5719.17
T046,SpiceJet,India,Cosmos Lines,Greece,Details of transaction 46,632.69
T047,Max Healthcare,India,ExxonMobil,USA,Details of transaction 47,2615.17
T048,General Electric Company,USA,South Indian Bank,India,Details of transaction 48,2111.19
T049,Shree Renuka Sugars,India,Sobha,India,Details of transaction 49,9924.73
T050,Google UK Limited,UK,Patanjali Ayurved,India,Details of transaction 50,5156.72
T051,Air India Express,India,"PPD, Inc.",USA,Details of transaction 51,7515.26
T052,Skyroot Aerospace,India,Austenship Management Private Ltd,Singapore,Details of transaction 52,748.37
T053,Ircon International,India,Ajanta Group,India,Details of transaction 53,8243.24
T054,General Electric Company,USA,ExxonMobil,USA,Details of transaction 54,8463.86
T055,Integral Coach Factory,India,Jain Irrigation Systems,India,Details of transaction 55,7972.9
T056,JPMorgan Chase & Co.,USA,Pawan Hans,India,Details of transaction 56,7398.07
T057,Skyroot Aerospace,India,Sobha,India,Details of transaction 57,7193.77
T058,Petronet LNG,India,Alkem Laboratories,India,Details of transaction 58,7422.77
T059,ExxonMobil,USA,Singareni Collieries Company,India,Details of transaction 59,1189.77
T060,Shriram Group,India,Intel Corporation,USA,Details of transaction 60,1348.44
T061,"Cisco Systems, Inc.",USA,Oracle Corporation,USA,Details of transaction 61,7438.48
T062,Oracle Corporation,USA,Shree Renuka Sugars,India,Details of transaction 62,8637.12
T063,JPMorgan Chase & Co.,USA,South Indian Bank,India,Details of transaction 63,8734.59
T064,VTB Bank,Russia,Pentamedia Graphics,India,Details of transaction 64,6653.19
T065,Huawei Technologies,China,"Wells Fargo Bank, National Association",USA,Details of transaction 65,739.48
T066,Intel Corporation,USA,Max Ventures and Industries,India,Details of transaction 66,9782.79
T067,Sonata Software,India,Intex Technologies,India,Details of transaction 67,9789.75
T068,Sonata Software,India,Skyroot Aerospace,India,Details of transaction 68,7426.46
T069,Jain Irrigation Systems,India,Persistent Systems,India,Details of transaction 69,4244.22
T070,Intelenet Global Services,India,Patanjali Ayurved,India,Details of transaction 70,5621.91
T071,"Cisco Systems, Inc.",USA,Air India Express,India,Details of transaction 71,2556.52
T072,Persistent Systems,India,"PPD, Inc.",USA,Details of transaction 72,3853.58
T073,IBM Corporation,USA,Ajanta Group,India,Details of transaction 73,490.63
T074,Max Healthcare,India,Singareni Collieries Company,India,Details of transaction 74,8081.95
T075,Max Healthcare,India,Skyroot Aerospace,India,Details of transaction 75,3051.44
T076,Pentamedia Graphics,India,Skipper Limited,India,Details of transaction 76,6418.76
T077,Apple Inc.,USA,Ittiam Systems,India,Details of transaction 77,8831.56
T078,Sonata Software,India,General Electric Company,USA,Details of transaction 78,9628.37
T079,"PPD, Inc.",USA,ExxonMobil,USA,Details of transaction 79,7036.37
T080,Skipper Limited,India,Oracle Corporation,USA,Details of transaction 80,9033.88
T081,Sberbank,Russia,Max Ventures and Industries,India,Details of transaction 81,4840.34
T082,Intel Corporation,USA,JPMorgan Chase & Co.,USA,Details of transaction 82,9208.77
T083,Intex Technologies,India,Singareni Collieries Company,India,Details of transaction 83,8008.72
T084,Rosneft,Russia,IBM Corporation,USA,Details of transaction 84,5752.82
T085,Intelenet Global Services,India,SAP SE,Germany,Details of transaction 85,4715.63
T086,Max Ventures and Industries,India,Ittiam Systems,India,Details of transaction 86,9326.32
T087,Persistent Systems,India,Shriram Group,India,Details of transaction 87,5973.14
T088,VTB Bank,Russia,South Indian Bank,India,Details of transaction 88,3676.75
T089,Skipper Limited,India,Siemens AG,Germany,Details of transaction 89,3422.67
T090,SAP SE,Germany,ITC Limited,India,Details of transaction 90,540.15
T091,Persistent Systems,India,BSM Marine Ltd,Singapore,Details of transaction 91,1013.16
T092,Ajanta Group,India,Max Life Insurance,India,Details of transaction 92,9856.81
T093,Integral Coach Factory,India,Patanjali Ayurved,India,Details of transaction 93,1143.13
T094,Singareni Collieries Company,India,Google UK Limited,UK,Details of transaction 94,6200.02
T095,Apple Inc.,USA,Intex Technologies,India,Details of transaction 95,8346.05
T096,Snapdeal,India,Cosmos Lines,Greece,Details of transaction 96,3839.64
T097,Rosneft,Russia,"PPD, Inc.",USA,Details of transaction 97,1156.02
T098,Google UK Limited,UK,Petronet LNG,India,Details of transaction 98,7908.74
T099,Rosneft,Russia,Ittiam Systems,India,Details of transaction 99,2621.3
T100,"Cisco Systems, Inc.",USA,Max Ventures and Industries,India,Details of transaction 100,8627.49
